id,name,description,location,status,image_link
1,"Bengal Tiger","The Bengal tiger is a population of the Panthera tigris tigris subspecies. It ranks among the biggest wild cats alive today. It is considered to belong to the world's charismatic megafauna","Bangladesh, Bhutan, China, India, Indonesia, Malaysia, Myanmar, Nepal, Russia and Thailand","Mid endangered",https://cdn.britannica.com/22/226322-050-C17930D6/Bengal-tiger-Panthera-tigris-tigris-Maharastra-India.jpg
2,"Siberian Tiger","The Siberian tiger or Amur tiger is a population of the tiger subspecies Panthera tigris tigris native to the Russian Far East, Northeast China and possibly North Korea. It once ranged throughout the Korean Peninsula, but currently inhabits mainly the Sikhote-Alin mountain region in southwest Primorye Province in the Russian Far East.","Siberia","Critically Endangered",https://upload.wikimedia.org/wikipedia/commons/b/b9/P.t.altaica_Tomak_Male.jpg
3,"Humpback Whale","The humpback whale is a species of baleen whale. It is a rorqual and is the only species in the genus Megaptera. Adults range in length from 14-17 m and weigh up to 40 metric tons. The humpback has a distinctive body shape, with long pectoral fins and tubercles on its head.","All oceans","Not endagered",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/HIHWNMS_-_humpback_and_calf_-_Permit14682-37906_%2826491391423%29.jpg/1920px-HIHWNMS_-_humpback_and_calf_-_Permit14682-37906_%2826491391423%29.jpg
4,"Blue Whale","The blue whale is the largest animal on the planet, weighing as much as 200 tons (approximately 33 elephants). The blue whale has a heart the size of a Volkswagen Beetle. Its stomach can hold one ton of krill and it needs to eat about four tons of krill each day. They are the loudest animals on Earth and are even louder than a jet engine. Their calls reach 188 decibels, while a jet reaches 140 decibels. Their low frequency whistle can be heard for hundreds of miles and is probably used to attract other blue whales.","Southern Chile, Gulf of California, Coral Triangle","Endangered",https://files.worldwildlife.org/wwfcmsprod/images/Blue_Whale/hero_small/gex0x01aq_shutterstock_764499823.jpg
5,"Narwhal","Often dubbed the unicorns of the sea, narwhals are strange and beautiful creatures with long tusks protruding from their heads. Members of the population of more than 80,000 can weigh up to 4,200 pounds and grow as long as 17 feet in length. Read on to learn more about these fascinating animals.","Arctic waters of Canada, Greenland, Norway and Russia","Near Threatened",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/%D0%9D%D0%B0%D1%80%D0%B2%D0%B0%D0%BB_%D0%B2_%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%90%D1%80%D0%BA%D1%82%D0%B8%D0%BA%D0%B5.jpg/1200px-%D0%9D%D0%B0%D1%80%D0%B2%D0%B0%D0%BB_%D0%B2_%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%90%D1%80%D0%BA%D1%82%D0%B8%D0%BA%D0%B5.jpg
6,"Panda","The panda, with its distinctive black and white coat, is adored by the world and considered a national treasure in China. This bear also has a special significance for WWF because it has been our logo since our founding in 1961.","Southwest China","Vulnerable",https://i.natgeofe.com/k/75ac774d-e6c7-44fa-b787-d0e20742f797/giant-panda-eating_3x2.jpg
7,"Red Fox","Red foxes have long snouts and red fur across the face, back, sides, and tail. Their throat, chin, and belly are grayish-white. Red foxes have black feet and black-tipped ears that are large and pointy. One of the most noticeable characteristics of the red fox is the fluffy white-tipped tail. Red foxes are about three feet long and two feet tall.","North America","Least Concern",https://www.nrcm.org/wp-content/uploads/2018/12/Red-fox-winter-South-China-4-Hal-Winters.jpg
8,"Sloth","Sloths, the sluggish tree-dwellers of Central and South America spend their lives in the tropical rain forests. They move through the canopy at a rate of about 40 yards per day, munching on leaves, twigs and buds. Sloths have an exceptionally low metabolic rate and spend 15 to 20 hours per day sleeping. And surprisingly enough, the long-armed animals are excellent swimmers. They occasionally drop from their treetop perches into water for a paddle.","Amazon","Critically Endangered",https://files.worldwildlife.org/wwfcmsprod/images/Baby_Sloth_Hanging_iStock_3_12_2014/portrait_overview/4zhzw2pmf0_iStock_000016816803XLarge_mini.jpg
9,"Elephant","Elephants are the largest land mammals on earth and have distinctly massive bodies, large ears, and long trunks. They use their trunks to pick up objects, trumpet warnings, greet other elephants, or suck up water for drinking or bathing, among other uses. Both male and female African elephants grow tusks and each individual can either be left- or right-tusked, and the one they use more is usually smaller because of wear and tear. Elephant tusks serve many purposes. These extended teeth can be used to protect the elephant's trunk, lift and move objects, gather food, and strip bark from trees. They can also be used for defense. During times of drought, elephants even use their tusks to dig holes to find water underground.","Africa, Asia","Endangered",https://i.natgeofe.com/n/16fc1c64-7589-46da-8350-aa3b01da2152/3961779_16x9.jpg
10,"Baboon","They are some of the world�s largest monkeys. There are five species of the baboon � olive, yellow, chacma, Guinea, and sacred � scattered across various habitat in Africa and Arabia. The olive baboon is the most extensively distributed of the baboon family. The baboon, like other Old World monkeys, does not have a prehensile (gripping) tail � meaning their tails are not used as a hand � but they are still able to climb when necessary. They all have dog-like noses, powerful jaws, sharp canine teeth, and thick fur. Males have a longer mane around the neck, called a ruff.","Africa","Least Concern",https://cdn.mos.cms.futurecdn.net/5VRpoZoyUuepUJi5kFTzmC.jpg
